variable_o_par,tipo_problema,n_afectado,detalle
TRASTORNOS.HIPERTENSIVOS.CATEGORIA vs Preclampsia.personal,ambiguedad_definicion_no_asumir_igual,36,36 de 253 casos discordantes entre 'TRASTORNOS.HIPERTENSIVOS.CATEGORIA==PREECLAMPSIA' y 'Preclampsia.personal==1' (14 casos con Preclampsia.personal=1 pero categoria=NINGUNO; 21 casos con categoria=PREECLAMPSIA pero Preclampsia.personal=0). Sugiere que 'personal' podria referirse a antecedente de embarazos previos y CATEGORIA al evento del embarazo actual (u otra diferencia de definicion/momento de captura). Requiere aclarar la definicion operativa antes de tratarlas como la misma variable o de elegir cual usar como exposicion.
PESO.EG.CATEGORIA vs RCIU,discordancia_clinica_no_necesariamente_error,5,"5 neonato(s) clasificados 'pequeño' para edad gestacional pero SIN diagnostico de RCIU: no es forzosamente un error (RCIU es diagnostico clinico, PEG es corte estadistico), pero requiere decidir cual variable representa 'restriccion de crecimiento' en el articulo."
Alcohol.CODIGO,frecuencia_baja_para_modelamiento,1,Categoria minoritaria con n=1 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Apgar.1er..Minuto,frecuencia_baja_para_modelamiento,2,Categoria minoritaria con n=2 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Apgar.5to...7..SI.NO,frecuencia_baja_para_modelamiento,2,Categoria minoritaria con n=2 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Apgar.5to..Minuto,frecuencia_baja_para_modelamiento,1,Categoria minoritaria con n=1 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
BEBE.Hipoglicemia,frecuencia_baja_para_modelamiento,5,Categoria minoritaria con n=5 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
BEBE.POLICITEMIA,frecuencia_baja_para_modelamiento,8,Categoria minoritaria con n=8 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
CODIGO.Apgar.5to.,frecuencia_baja_para_modelamiento,2,Categoria minoritaria con n=2 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
DROGAS,frecuencia_baja_para_modelamiento,7,Categoria minoritaria con n=7 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Defectos.congénitos.CIE,frecuencia_baja_para_modelamiento,1,Categoria minoritaria con n=1 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Edad.gestacional.CATEGORIA,frecuencia_baja_para_modelamiento,1,Categoria minoritaria con n=1 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Egreso.RN,frecuencia_baja_para_modelamiento,2,Categoria minoritaria con n=2 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Embarazo.múltiple.CODIGO,frecuencia_baja_para_modelamiento,7,Categoria minoritaria con n=7 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Estudios.CODIGO,frecuencia_baja_para_modelamiento,8,Categoria minoritaria con n=8 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Etnia.CATEGORIA,frecuencia_baja_para_modelamiento,4,Categoria minoritaria con n=4 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Hemorragia.1er..trim.,frecuencia_baja_para_modelamiento,7,Categoria minoritaria con n=7 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Hemorragia.2do..trim.,frecuencia_baja_para_modelamiento,6,Categoria minoritaria con n=6 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Hemorragia.3er..trim.,frecuencia_baja_para_modelamiento,8,Categoria minoritaria con n=8 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Hipertensión.personal,frecuencia_baja_para_modelamiento,3,Categoria minoritaria con n=3 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
MACROSÓMICO,frecuencia_baja_para_modelamiento,9,Categoria minoritaria con n=9 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
MAMA.HIV,frecuencia_baja_para_modelamiento,5,Categoria minoritaria con n=5 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Numero.gestas.previas,frecuencia_baja_para_modelamiento,1,Categoria minoritaria con n=1 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
PESO.EG.CATEGORIA,frecuencia_baja_para_modelamiento,9,Categoria minoritaria con n=9 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
POSTERMINO.CODIGO,frecuencia_baja_para_modelamiento,1,Categoria minoritaria con n=1 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Peso..Edad.Gestacional.CODIGO,frecuencia_baja_para_modelamiento,8,Categoria minoritaria con n=8 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Peso.al.nacimiento.CODIGO,frecuencia_baja_para_modelamiento,4,Categoria minoritaria con n=4 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
RN.vivo.CODIGO,frecuencia_baja_para_modelamiento,2,Categoria minoritaria con n=2 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
SISTEMA.AFECTADO,frecuencia_baja_para_modelamiento,1,Categoria minoritaria con n=1 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
TABACO.ACTIVO,frecuencia_baja_para_modelamiento,9,Categoria minoritaria con n=9 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
TRASTORNOS.HIPERTENSIVOS.CATEGORIA,frecuencia_baja_para_modelamiento,4,Categoria minoritaria con n=4 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
VIOLENCIA.CODIGO,frecuencia_baja_para_modelamiento,5,Categoria minoritaria con n=5 (<10): riesgo de sobreajuste/estimaciones inestables si se usa como covariable en un modelo multivariable con ~255 observaciones.
Etnia.CATEGORIA vs ETNIA.MINORITARIA,inconsistencia_derivado,1,"Etnia.CATEGORIA=mestiza -> ETNIA.MINORITARIA=1 (esperado 0), n=1"
Egreso.RN vs RN.vivo.CODIGO,inconsistencia_derivado_con_mezcla_de_tipos,1,"Egreso.RN=vivo -> RN.vivo.CODIGO=(missing) (esperado 1), n=1"
PESO.EG.CATEGORIA vs Peso..Edad.Gestacional.CODIGO,inconsistencia_duplicado_exacto,1,"PESO.EG.CATEGORIA=grande -> Peso..Edad.Gestacional.CODIGO=2 (esperado 3), n=1"
Cesáreas.previas.CATEGORIA,missing_estructural_no_problema,59,"Los 59 valores faltantes corresponden exactamente a mujeres nuligestas (Gestas.previas.CODIGO==0): missing estructural ('no aplica'), no missing real. No requiere imputacion, requiere codificarse como categoria 'no aplica'."
Motivo.principal.de.induccion.o.cirugia,missing_inesperado_en_cesarea,3,3 parto(s) por cesarea sin motivo registrado (en partos vaginales el NA es estructural/esperado: n=150 y no se considera problema).
Edad.materna,rango_normal,0,"Rango 15-46 anios: fisiologicamente plausible en su totalidad, sin valores imposibles."
Alcohol.CODIGO,sin_diccionario_de_codigos_disponible,251,"Codigos 0-3 con n = 234/15/1/1: la naturaleza ordinal/nominal exacta de 1,2,3 (p.ej. ocasional/frecuente/dependencia) no esta documentada en la base; ademas 2 y 3 tienen n=1 cada uno."
Estudios.CODIGO,sin_diccionario_de_codigos_disponible,255,"Solo existe la version CODIGO (0-3), sin CATEGORIA textual paralela en la base: no se puede asumir el significado de cada nivel sin un codebook del estudio original."
Apgar.5to..Minuto,valor_extremo_plausible,1,"Un caso con Apgar 5'=0, coincide con el neonato fallecido de 955g: coherente clinicamente."
Número.Consultas.prenatales,valor_extremo_plausible,1,"Maximo 15 controles prenatales en un solo caso (categoria '8 O MAS'): alto pero fisiologicamente posible, no se considera imposible."
Peso.al.nacer.GRAMOS,valor_extremo_plausible,1,"Minimo 955g a las 30 semanas EG, Apgar 1'=1 y 5'=0, egreso=fallece: extremo pero clinicamente coherente (mortinato/fallecido extremadamente pretermino), no parece error de captura."
BEBE.sifilis.congenita,variable_constante,255,Unico valor observado: 1=255. No aporta variabilidad para analisis.
Eclampsia.personal,variable_constante,255,Unico valor observado: 0=255. No aporta variabilidad para analisis.
